datetime,open,high,low,close
2026-01-12 21:00,0.27,0.27,0.27,0.27
2026-01-12 22:00,0.245,0.245,0.245,0.245
2026-01-12 23:00,0.26,0.26,0.26,0.26
2026-01-13 00:00,0.265,0.265,0.265,0.265
2026-01-13 02:00,0.225,0.225,0.225,0.225
2026-01-13 03:00,0.24,0.24,0.24,0.24
2026-01-13 04:00,0.245,0.245,0.245,0.245
2026-01-13 05:00,0.285,0.285,0.285,0.285
2026-01-13 06:00,0.26,0.26,0.26,0.26
2026-01-13 07:00,0.265,0.265,0.265,0.265
2026-01-13 08:00,0.265,0.265,0.265,0.265
2026-01-13 09:00,0.26,0.26,0.26,0.26
2026-01-13 10:00,0.33,0.33,0.33,0.33
2026-01-13 11:00,0.32,0.32,0.32,0.32
2026-01-13 12:00,0.355,0.355,0.355,0.355
2026-01-13 14:00,0.355,0.355,0.355,0.355
2026-01-13 15:00,0.315,0.315,0.315,0.315
2026-01-13 16:00,0.4,0.4,0.4,0.4
2026-01-13 17:00,0.44,0.44,0.44,0.44
2026-01-13 18:00,0.475,0.475,0.475,0.475
2026-01-13 20:00,0.425,0.425,0.425,0.425
2026-01-13 21:00,0.36,0.36,0.36,0.36
2026-01-13 22:00,0.34,0.34,0.34,0.34
2026-01-13 23:00,0.325,0.325,0.325,0.325
2026-01-14 00:00,0.325,0.325,0.325,0.325
2026-01-14 01:00,0.305,0.305,0.305,0.305
2026-01-14 02:00,0.29,0.29,0.29,0.29
2026-01-14 03:00,0.305,0.305,0.305,0.305
2026-01-14 04:00,0.3,0.3,0.3,0.3
2026-01-14 05:00,0.285,0.285,0.285,0.285
2026-01-14 06:00,0.29,0.29,0.29,0.29
2026-01-14 07:00,0.265,0.265,0.265,0.265
2026-01-14 08:00,0.255,0.255,0.255,0.255
2026-01-14 09:00,0.295,0.295,0.295,0.295
2026-01-14 10:00,0.34,0.34,0.34,0.34
2026-01-14 11:00,0.445,0.445,0.445,0.445
2026-01-14 12:00,0.425,0.425,0.425,0.425
2026-01-14 13:00,0.465,0.465,0.465,0.465
2026-01-14 14:00,0.515,0.515,0.515,0.515
2026-01-14 15:00,0.465,0.465,0.465,0.465
2026-01-14 16:00,0.46,0.46,0.46,0.46
2026-01-14 17:00,0.47,0.47,0.47,0.47
2026-01-14 18:00,0.495,0.495,0.495,0.495
2026-01-14 19:00,0.5,0.5,0.5,0.5
2026-01-14 20:00,0.55,0.55,0.55,0.55
2026-01-14 21:00,0.32,0.32,0.32,0.32
2026-01-14 22:00,0.39,0.39,0.39,0.39
2026-01-14 23:00,0.475,0.475,0.475,0.475
2026-01-15 00:00,0.4,0.4,0.4,0.4
2026-01-15 01:00,0.4,0.4,0.4,0.4
2026-01-15 02:00,0.31,0.31,0.31,0.31
2026-01-15 03:00,0.31,0.31,0.31,0.31
2026-01-15 04:00,0.32,0.32,0.32,0.32
2026-01-15 05:00,0.34,0.34,0.34,0.34
2026-01-15 06:00,0.33,0.33,0.33,0.33
2026-01-15 07:00,0.32,0.32,0.32,0.32
2026-01-15 08:00,0.3,0.3,0.3,0.3
2026-01-15 09:00,0.295,0.295,0.295,0.295
2026-01-15 10:00,0.275,0.275,0.275,0.275
2026-01-15 11:00,0.285,0.285,0.285,0.285
2026-01-15 12:00,0.205,0.205,0.205,0.205
2026-01-15 13:00,0.22,0.22,0.22,0.22
2026-01-15 14:00,0.21,0.21,0.21,0.21
2026-01-15 15:00,0.19,0.19,0.19,0.19
2026-01-15 16:00,0.18,0.18,0.18,0.18
2026-01-15 17:00,0.175,0.175,0.175,0.175
2026-01-15 18:00,0.135,0.135,0.135,0.135
2026-01-15 19:00,0.15,0.15,0.15,0.15
2026-01-15 20:00,0.155,0.155,0.155,0.155
2026-01-15 21:00,0.155,0.155,0.155,0.155
2026-01-15 22:00,0.13,0.13,0.13,0.13
2026-01-15 23:00,0.145,0.145,0.145,0.145
2026-01-16 00:00,0.125,0.125,0.125,0.125
2026-01-16 01:00,0.125,0.125,0.125,0.125
2026-01-16 02:00,0.13,0.13,0.13,0.13
2026-01-16 03:00,0.13,0.13,0.13,0.13
2026-01-16 04:00,0.125,0.125,0.125,0.125
2026-01-16 05:00,0.115,0.115,0.115,0.115
2026-01-16 06:00,0.12,0.12,0.12,0.12
2026-01-16 07:00,0.13,0.13,0.13,0.13
2026-01-16 08:00,0.12,0.12,0.12,0.12
2026-01-16 09:00,0.11,0.11,0.11,0.11
2026-01-16 10:00,0.1,0.1,0.1,0.1
2026-01-16 11:00,0.125,0.125,0.125,0.125
2026-01-16 12:00,0.11,0.11,0.11,0.11
2026-01-16 13:00,0.135,0.135,0.135,0.135
2026-01-16 14:00,0.135,0.135,0.135,0.135
2026-01-16 15:00,0.14,0.14,0.14,0.14
2026-01-16 16:00,0.125,0.125,0.125,0.125
2026-01-16 17:00,0.105,0.105,0.105,0.105
2026-01-16 18:00,0.11,0.11,0.11,0.11
2026-01-16 19:00,0.125,0.125,0.125,0.125
2026-01-16 20:00,0.115,0.115,0.115,0.115
2026-01-16 21:00,0.115,0.115,0.115,0.115
2026-01-16 22:00,0.115,0.115,0.115,0.115
2026-01-16 23:00,0.115,0.115,0.115,0.115
2026-01-17 00:00,0.105,0.105,0.105,0.105
2026-01-17 01:00,0.11,0.11,0.11,0.11
2026-01-17 02:00,0.11,0.11,0.11,0.11
2026-01-17 03:00,0.11,0.11,0.11,0.11
2026-01-17 04:00,0.105,0.105,0.105,0.105
2026-01-17 05:00,0.115,0.115,0.115,0.115
2026-01-17 06:00,0.115,0.115,0.115,0.115
2026-01-17 07:00,0.105,0.105,0.105,0.105
2026-01-17 08:00,0.105,0.105,0.105,0.105
